jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,5222,144.0,,413.0,,1141.0,12.6205083260298,36.19631901840491
2012,5225,109.0,,557.0,,493.0,22.10953346855984,112.9817444219067
2012,5244,23.0,,181.0,,663.0,3.4690799396681746,27.300150829562593
2012,5245,35.0,,161.0,,414.0,8.454106280193237,38.888888888888886
2012,5275,9.535714285714286,1.0,87.0,,435.0,2.1921182266009853,20.0
2012,5276,23.0,,170.0,,682.0,3.372434017595308,24.9266862170088
2012,5303,184.0,,1178.0,,4239.0,4.34064637886294,27.78957301250295
2012,5315,9.535714285714286,1.0,99.0,,314.0,3.0368516833484986,31.528662420382165
2012,5318,9.535714285714286,1.0,98.0,,310.0,3.076036866359447,31.612903225806452
2012,5322,77.0,,310.0,,1607.0,4.791537025513379,19.290603609209708
2012,5323,43.0,,149.0,,766.0,5.613577023498695,19.45169712793734
2012,5324,39.0,,209.0,,802.0,4.8628428927680805,26.05985037406484
2012,5326,23.0,,110.0,,683.0,3.3674963396778916,16.105417276720353
2012,5400,1952.0,,5490.0,,12880.0,15.15527950310559,42.62422360248447
2012,5405,194.0,,1039.0,,3005.0,6.455906821963394,34.5757071547421
2012,5408,440.0,,1603.0,,3140.0,14.012738853503185,51.05095541401274
2012,5423,70.0,,341.0,,942.0,7.43099787685775,36.1995753715499
2012,5444,66.0,,444.0,,1622.0,4.06905055487053,27.373612823674474
2012,5445,32.0,,293.0,,904.0,3.5398230088495577,32.41150442477876
2012,5452,272.0,,1472.0,,3929.0,6.922881140239247,37.465003817765336
2012,5503,178.0,,798.0,,2837.0,6.274233345082833,28.128304547056747
2012,5505,26.0,,162.0,,683.0,3.806734992679356,23.718887262079065
2012,5610,629.0,,3156.0,,13837.0,4.5457830454578305,22.808412228084123
2012,5616,105.0,,668.0,,2268.0,4.62962962962963,29.453262786596117
2012,5617,21.0,,124.0,,426.0,4.929577464788732,29.107981220657276
2012,5626,26.0,,289.0,,1133.0,2.2947925860547222,25.507502206531335
2012,5632,58.0,,299.0,,1238.0,4.684975767366721,24.151857835218095
2012,5634,103.0,,765.0,,2806.0,3.670705630791162,27.263007840342127
2012,5703,226.0,,1411.0,,4795.0,4.7132429614181435,29.426485922836285
